simulation_id,condition,r_cst_selected_vs_all_active
0,normal,0.39947249575194144
1,normal,0.16515080308755098
2,normal,0.4420976414061041
3,normal,0.3090772124823236
4,normal,0.6446311300937219
5,normal,0.6258366433663937
6,normal,0.4104702457604945
7,normal,0.23295916447074405
8,normal,0.34105167111696677
9,normal,0.5309945693152575
10,normal,0.4830531505827306
11,normal,0.1572171315668453
12,normal,0.25318501956069245
13,normal,0.3051213190085727
14,normal,0.36508606841525293
15,normal,0.2552928565072706
16,normal,0.7608718091897089
17,normal,0.4488407815911653
18,normal,0.23259951251036773
19,normal,0.07003918573311088
20,normal,0.6213083030319785
21,normal,0.5440192841117087
22,normal,0.557762397727976
23,normal,0.5016224994104962
24,normal,0.45067765870249366
25,normal,0.28500056596522166
26,normal,0.11805962376138786
27,normal,0.06128876293376045
28,normal,0.6262219637731984
29,normal,0.21559117965584934
30,normal,0.47947943529185355
31,normal,0.5788786301231567
32,normal,0.39260432427427333
33,normal,0.034803422974161065
34,normal,0.20741392018360055
35,normal,0.3041126163215351
36,normal,0.23562520194520845
37,normal,0.23115877639366267
38,normal,0.44964836115464235
39,normal,0.42478691587579126
40,normal,0.2369805178747899
41,normal,0.3917067698249359
42,normal,0.4072410096539129
43,normal,0.7399692994878856
44,normal,0.2881290804284075
45,normal,0.2697899374313963
46,normal,0.3802548000895644
47,normal,0.5303638232081528
48,normal,0.256732997987951
49,normal,0.5695047634460028
0,DPN,0.335686436591769
1,DPN,0.3822360639469113
2,DPN,0.4664602034400876
3,DPN,0.4129306743789052
4,DPN,0.6176986595627811
5,DPN,0.6214402396557613
6,DPN,-0.5222890848119538
7,DPN,0.7952856793564902
8,DPN,0.19376290026353762
9,DPN,0.30291700457791004
10,DPN,0.35116578155581096
11,DPN,0.19016618941971564
12,DPN,0.043611229157020225
13,DPN,0.7583993409799357
14,DPN,0.5197435528898723
15,DPN,0.7407449301475276
16,DPN,0.25543552062227287
17,DPN,0.6819195912887231
18,DPN,0.6326091805504727
19,DPN,0.4299831865670916
20,DPN,0.5265186800903244
21,DPN,-0.07691413259957111
22,DPN,0.5072243925217707
23,DPN,0.4082474428363892
24,DPN,0.5030833597869898
25,DPN,0.7031975630389836
26,DPN,0.22722926134431715
27,DPN,0.6286573511103106
28,DPN,0.7705003597312655
29,DPN,0.5705210147491165
30,DPN,0.4096181618860232
31,DPN,0.3366511961110914
32,DPN,0.42781421748508114
33,DPN,0.33906662875545074
34,DPN,0.7837087462770973
35,DPN,0.5578601092341661
36,DPN,0.41444810728578574
37,DPN,0.6537740552217483
38,DPN,0.571258400990443
39,DPN,0.36983120000411235
40,DPN,0.5054812946600755
41,DPN,0.3283124278831491
42,DPN,0.440078134713598
43,DPN,0.5767438215776305
44,DPN,0.19839249595376174
45,DPN,0.43865462042960757
46,DPN,0.41898134611779886
47,DPN,0.5652028166597309
48,DPN,0.5768800648016681
49,DPN,0.5341977680734791
