n_selection_seeds,mean_difference_across_seeds,sd_difference_across_seeds,median_difference_across_seeds,selection_range_2_5_percentile,selection_range_97_5_percentile,fraction_nonnegative,fraction_nominal_p_below_0_05,eligible_pool_minimum,eligible_pool_median,eligible_pool_maximum,force_level_mvc,n_pairs,fixed_selection_seed,fixed_normal_mean,fixed_dpn_mean,fixed_difference,fixed_wilcoxon_statistic,fixed_p_value,truth_normal_mean,truth_dpn_mean,truth_difference,truth_wilcoxon_statistic,truth_p_value
1000,-0.497112,0.12418341846585763,-0.4953333333333334,-0.7430416666666667,-0.267275,0.0,0.95,32,46.0,61,20,50,20260102,12.195,11.711000000000002,-0.4840000000000002,261.0,0.0007965856259007172,13.002766995291136,14.035906765128587,1.0331397698374487,0.0,1.7763568394002505e-15
1000,-0.35561000000000004,0.2734939449952415,-0.35833333333333284,-0.9071666666666666,0.19500000000000012,0.096,0.17,39,49.0,58,10,10,20260104,11.91,11.806666666666667,-0.10333333333333386,27.0,1.0,10.092160618366997,11.529841681215096,1.4376810628480983,0.0,0.001953125
1000,-0.02543333333333333,0.3020584681929907,-0.02166666666666641,-0.6250416666666665,0.600124999999999,0.461,0.015,32,39.0,49,50,10,20260105,11.760000000000002,11.45,-0.31000000000000016,19.0,0.431640625,16.85755691297593,17.410897964296105,0.5533410513201762,0.0,0.001953125
