outcome,outcome_unit,force_level_mvc,n_pairs,truth_condition_effect,hdsemg_condition_effect,hdsemg_minus_truth_effect_bias,bias_ci_low,bias_ci_high,wilcoxon_statistic,raw_p_value,holm_adjusted_p_value_across_mvc
firing_rate,pps,10,50,1.3861895006797555,-0.2706666666666665,-1.6568561673464217,-2.0051996875367335,-1.344318924364126,22.0,9.521272659185342e-13,1.9042545318370685e-12
firing_rate,pps,20,50,1.0331397698374487,-0.4840000000000002,-1.5171397698374485,-1.7603076308542016,-1.2753656182995816,7.0,3.375077994860476e-14,1.0125233984581428e-13
firing_rate,pps,50,50,0.5313517612074482,-0.4106666666666668,-0.9420184278741149,-1.3023930874823217,-0.6350762617057567,144.0,2.649707155910619e-07,2.649707155910619e-07
isi_cv,unitless,10,50,-0.09312387766673268,-0.03024630352923435,0.06287757413749834,0.05103760229003957,0.07636546230857871,19.0,5.453415496958769e-13,1.6360246490876307e-12
isi_cv,unitless,20,50,-0.0669967509965573,-0.02661255945099543,0.04038419154556189,0.03308649734962698,0.04755480071139874,21.0,7.94031507211912e-13,1.6360246490876307e-12
isi_cv,unitless,50,50,-0.03041208839601027,-0.016035763461043278,0.01437632493496699,0.006034446060687646,0.02342916260520012,349.0,0.004757046552823496,0.004757046552823496
