isicv,fmin,fmax,lowest_rate_first,normal_mean,dpn_mean,difference,p_value,n_pairs,min_eligible_pool
0.15,5,15.0,True,12.701333333333334,11.438333333333333,-1.263,7.551804758280675e-10,50,19
0.2,5,15.0,True,11.444666666666665,10.106666666666666,-1.3379999999999999,9.057904604701287e-10,50,23
0.25,5,15.0,True,10.278333333333332,8.952666666666666,-1.325666666666667,9.0619646267731e-10,50,27
0.3,5,15.0,True,9.140666666666666,8.037333333333333,-1.1033333333333337,1.5588051849655002e-09,50,32
0.32,5,15.0,True,8.682333333333332,7.710333333333333,-0.9720000000000002,5.0566306626846815e-08,50,34
0.34,5,15.0,True,8.263,7.490333333333334,-0.7726666666666668,3.5102430413068894e-06,50,34
0.36,5,15.0,True,7.9479999999999995,7.311000000000002,-0.637,2.9747345218211763e-05,50,34
0.38,5,15.0,True,7.618333333333334,7.246,-0.3723333333333333,0.00995177474999833,50,34
0.4,5,15.0,True,7.383333333333333,7.161666666666666,-0.22166666666666668,0.12962051178929385,50,35
0.45,5,15.0,True,6.865666666666667,7.092,0.2263333333333332,0.14228561522033745,50,35
0.5,5,15.0,True,6.644666666666667,7.047333333333333,0.4026666666666667,0.002072835056111368,50,35
0.15,5,15.0,False,13.595008072637842,12.98766175598821,-0.6073463166496317,1.7763568394002505e-15,50,19
0.2,5,15.0,False,13.037736676293727,12.435825382168227,-0.6019112941255021,1.2434497875801753e-14,50,23
0.25,5,15.0,False,12.569963200583965,11.98693086213148,-0.5830323384524853,2.4868995751603507e-14,50,27
0.3,5,15.0,False,12.12588440952212,11.628588321342788,-0.4972960881793287,1.8094681308866711e-10,50,32
0.32,5,15.0,False,11.948727748400113,11.503687674995376,-0.44504007340473395,5.7649630846867694e-08,50,34
0.34,5,15.0,False,11.782892974273205,11.41295968813317,-0.36993328614003096,6.010637926934237e-06,50,34
0.36,5,15.0,False,11.65670073712215,11.344872851424135,-0.31182788569800995,0.0001941578147395262,50,34
0.38,5,15.0,False,11.524034236669317,11.320942067963927,-0.20309216870538904,0.012931948668784443,50,34
0.4,5,15.0,False,11.426549174074434,11.28640291538037,-0.14014625869406408,0.06207125225267518,50,35
0.45,5,15.0,False,11.213037053468083,11.259675262476328,0.04663820900824458,0.7304479390240814,50,35
0.5,5,15.0,False,11.118865348336897,11.242816912980423,0.12395156464352525,0.1515030570827971,50,35
0.3,5,15.0,True,9.140666666666666,8.037333333333333,-1.1033333333333337,1.5588051849655002e-09,50,32
0.3,5,20.0,True,9.140666666666666,8.037333333333333,-1.1033333333333337,1.5588051849655002e-09,50,115
0.3,5,30.0,True,9.140666666666666,8.037333333333333,-1.1033333333333337,1.5588051849655002e-09,50,130
0.3,5,inf,True,9.140666666666666,8.037333333333333,-1.1033333333333337,1.5588051849655002e-09,50,130
