simulation_id,mean_firing_rate,mean_ISI_CV,n_motor_units
0,11.033333333333335,0.14452815206154265,10
1,12.3,0.1192025012451432,10
2,12.033333333333333,0.11561386802389997,10
3,11.283333333333335,0.1317519703558864,10
4,12.933333333333334,0.10294360750597789,10
5,11.73333333333333,0.12595749376395737,10
6,12.316666666666666,0.11905855933504239,10
7,12.033333333333335,0.11459086518781585,10
8,12.466666666666667,0.11206456508101259,10
9,12.0,0.11758588740793512,10
10,11.799999999999999,0.12372994334330382,10
11,11.383333333333335,0.14459823973698685,10
12,12.549999999999999,0.10320938815291889,10
13,12.249999999999998,0.11337394005798787,10
14,10.483333333333333,0.16530331099976966,10
15,11.783333333333333,0.12598836189339163,10
16,12.0,0.12492959631693046,10
17,10.2,0.16096036494085197,10
18,11.083333333333334,0.1502931794653954,10
19,13.26666666666667,0.08966233570567098,10
20,11.233333333333333,0.133464478654929,10
21,12.433333333333334,0.1081153897965681,10
22,10.7,0.1474658435814978,10
23,12.433333333333334,0.0983575924774621,10
24,11.749999999999998,0.12100169783002604,10
25,11.516666666666666,0.13018140099974546,10
26,11.616666666666665,0.12956390526452596,10
27,12.416666666666666,0.11424417102458909,10
28,12.433333333333334,0.104853433451508,10
29,11.25,0.1394232831044269,10
30,11.183333333333334,0.13544384582666427,10
31,10.666666666666666,0.15065277942519076,10
32,10.616666666666665,0.15091721902682317,10
33,11.233333333333334,0.13720707248294364,10
34,10.8,0.15707248599205684,10
35,12.466666666666665,0.104087465108559,10
36,12.183333333333334,0.10958153821056422,10
37,12.016666666666667,0.12502210618074033,10
38,12.033333333333335,0.1152124507025926,10
39,10.766666666666666,0.14182007233044858,10
40,11.833333333333332,0.11238627123060926,10
41,11.166666666666668,0.14222399880076,10
42,11.033333333333333,0.13716281595578417,10
43,12.383333333333335,0.11687275398416326,10
44,11.783333333333333,0.11862155513058306,10
45,12.45,0.10585123924454772,10
46,11.349999999999998,0.13014411202408196,10
47,11.783333333333333,0.125087177412105,10
48,10.316666666666666,0.15250548770711422,10
49,12.766666666666667,0.09748552942584925,10
