firing_rate,ISI_CV,neuron_index
13.833333333333334,0.10886682780500959,100.0
10.166666666666666,0.1948108962059484,100.0
17.666666666666668,0.05600358837408481,100.0
19.333333333333332,0.04133104189985638,10.0
9.5,0.2587881957959841,100.0
18.166666666666668,0.05682938746685104,10.0
1.6666666666666667,0.6773829592775111,250.0
13.666666666666666,0.1175952627847743,100.0
19.666666666666668,0.04363578963844911,10.0
18.5,0.047352168865367354,10.0
20.166666666666668,0.04143810656468561,10.0
7.166666666666667,0.3583468292799828,250.0
19.0,0.04520808662919573,10.0
17.0,0.06322659794081426,10.0
16.5,0.07079042255810487,10.0
16.333333333333332,0.07428205247863329,100.0
11.0,0.21712346665726823,250.0
14.833333333333334,0.09461998238567332,100.0
11.833333333333334,0.1499338854993444,100.0
12.0,0.18216207320565161,10.0
5.5,0.4426927267203314,250.0
0.5,1.0,250.0
18.0,0.05687095301661166,10.0
7.166666666666667,0.4037962637371351,100.0
13.666666666666666,0.11271470868367466,250.0
17.666666666666668,0.06326064302828223,10.0
0.16666666666666666,1.0,250.0
16.333333333333332,0.06675773697428786,100.0
18.166666666666668,0.053322837539944525,10.0
20.333333333333332,0.042363674273283275,10.0
18.0,0.052485139305236864,100.0
14.0,0.09324937970131007,100.0
17.333333333333332,0.05916337093434434,100.0
18.5,0.05595274284023348,10.0
0.16666666666666666,1.0,250.0
6.0,0.3241816911553943,250.0
19.166666666666668,0.04423578099222117,100.0
19.0,0.05181411446032649,100.0
20.833333333333332,0.04164646144251988,10.0
19.166666666666668,0.046048015813029544,10.0
10.0,0.21659500234963636,250.0
5.0,0.4627102569756856,100.0
8.5,0.20896028781664086,250.0
19.833333333333332,0.039804090884974816,10.0
14.166666666666666,0.09746365642403777,100.0
16.333333333333332,0.06869198847721326,100.0
7.5,0.31117475027977576,250.0
17.0,0.06318610144364663,10.0
17.833333333333332,0.0554619950414549,10.0
17.833333333333332,0.05858940891265815,100.0
19.0,0.05008361226880944,10.0
13.666666666666666,0.1210129686166031,100.0
18.666666666666668,0.049752517239393786,10.0
16.0,0.06491499813447149,10.0
0.16666666666666666,1.0,250.0
19.333333333333332,0.04621139063556146,10.0
18.5,0.051576225922442986,10.0
15.0,0.09260730205130943,100.0
16.833333333333332,0.05579090828245596,100.0
11.0,0.20496027785590054,250.0
9.333333333333334,0.2524637724511575,250.0
2.6666666666666665,0.6759828503566667,250.0
20.833333333333332,0.03980082812556956,10.0
18.333333333333332,0.060063134701928915,10.0
6.666666666666667,0.42845037394562574,100.0
17.333333333333332,0.056383373105782425,10.0
17.0,0.06574937158254197,10.0
8.5,0.3189042943242,250.0
18.0,0.055624651473895226,10.0
8.333333333333334,0.23697485719575795,250.0
7.666666666666667,0.32064295666462056,250.0
9.833333333333334,0.21057939727775377,250.0
2.8333333333333335,0.7425028768336404,250.0
16.0,0.08055082323585873,100.0
14.166666666666666,0.1004512048429222,100.0
17.833333333333332,0.05561806739677335,100.0
13.666666666666666,0.09638775101681382,100.0
16.166666666666668,0.0729343497589117,10.0
14.333333333333334,0.09843847697472957,100.0
14.833333333333334,0.08958364666148544,250.0
16.833333333333332,0.058879397626764,10.0
16.333333333333332,0.06891937567635854,100.0
13.166666666666666,0.1148733740150903,100.0
15.666666666666666,0.0831255683387004,100.0
11.666666666666666,0.17169201991176405,250.0
12.166666666666666,0.14312863678103654,100.0
16.166666666666668,0.06301962820211252,10.0
15.166666666666666,0.07299784030592313,100.0
18.166666666666668,0.05586244358279861,10.0
18.333333333333332,0.048846724604350605,10.0
16.833333333333332,0.05250388091158343,10.0
13.666666666666666,0.10002000496673279,250.0
16.0,0.07677973812274981,100.0
18.5,0.05018604435211348,10.0
7.0,0.3465196290047873,250.0
18.333333333333332,0.0498531987605354,100.0
5.166666666666667,0.455323372074166,250.0
18.333333333333332,0.05156795524549249,10.0
18.666666666666668,0.046533959597489724,10.0
14.0,0.1003741783609538,250.0
0.16666666666666666,1.0,250.0
7.666666666666667,0.31795981576458227,250.0
17.333333333333332,0.06072620206349197,10.0
0.8333333333333334,0.5502298435565613,250.0
19.833333333333332,0.0484173026212609,10.0
18.5,0.04805742346775183,10.0
6.833333333333333,0.41653129803720923,250.0
19.0,0.04307425446485458,100.0
3.0,0.4837411977082246,250.0
10.166666666666666,0.2227238180738881,250.0
20.166666666666668,0.044890080523564135,10.0
10.5,0.22482301650830788,250.0
12.0,0.167453898382197,250.0
15.333333333333334,0.07984537870730493,100.0
16.5,0.06241645619433869,10.0
20.0,0.043241180325472556,10.0
17.0,0.06275591978991892,10.0
15.833333333333334,0.07018511519447067,100.0
14.666666666666666,0.0953289337780383,250.0
18.166666666666668,0.05172034885463865,10.0
12.333333333333334,0.1447078612677945,100.0
12.0,0.14712437017997645,250.0
16.333333333333332,0.06667667404066178,100.0
18.0,0.047782532212876976,100.0
9.333333333333334,0.3001624751962515,100.0
14.833333333333334,0.08736737760165285,10.0
19.0,0.048492253137212775,10.0
20.5,0.04768985490386247,10.0
14.5,0.10328219036777542,100.0
20.333333333333332,0.0414062829173221,10.0
21.666666666666668,0.03890284239439649,10.0
17.833333333333332,0.05733484212808059,60.0
16.333333333333332,0.07188846728766102,250.0
4.0,0.4789747502524668,250.0
8.833333333333334,0.24885865207152444,250.0
5.833333333333333,0.49625505559154764,250.0
18.5,0.051497207079384016,10.0
16.0,0.0712025294436092,100.0
18.5,0.05273054754764472,10.0
17.666666666666668,0.059598784293179295,100.0
2.1666666666666665,0.6485790957870313,250.0
15.0,0.09534869062505082,100.0
15.333333333333334,0.08892257117087325,100.0
11.666666666666666,0.15082162275734018,250.0
18.5,0.05298079171263312,10.0
3.8333333333333335,0.5420701369882579,250.0
0.6666666666666666,1.0,250.0
20.666666666666668,0.039366832160356365,10.0
14.5,0.10092054913980965,10.0
17.833333333333332,0.051439013497010085,100.0
6.166666666666667,0.3870155776581381,100.0
18.833333333333332,0.044626304173438935,100.0
7.333333333333333,0.3481244736526031,250.0
12.166666666666666,0.1452994209051895,100.0
19.5,0.049334538154469844,10.0
18.666666666666668,0.04882337000712078,100.0
0.16666666666666666,1.0,250.0
21.666666666666668,0.0411688292964734,10.0
14.833333333333334,0.07908774146792985,10.0
3.0,0.5400796094200389,100.0
17.166666666666668,0.059666942507200504,100.0
18.666666666666668,0.04596597773303771,100.0
8.833333333333334,0.2971309304637577,250.0
18.333333333333332,0.060486008620341106,10.0
20.333333333333332,0.04286142828487442,10.0
19.5,0.04953157562929887,10.0
8.666666666666666,0.2765944538701638,250.0
16.0,0.0704202950342264,250.0
14.666666666666666,0.08808705329962623,10.0
18.666666666666668,0.05095622526995058,10.0
12.333333333333334,0.1325956741048165,100.0
0.3333333333333333,1.0,250.0
14.166666666666666,0.10110441715905298,10.0
17.833333333333332,0.05790280612405184,100.0
7.333333333333333,0.3112799412094982,100.0
12.333333333333334,0.1370510968961742,250.0
6.5,0.38275462808747496,250.0
18.0,0.05393777473094292,100.0
19.666666666666668,0.04593202139621152,10.0
9.166666666666666,0.2568925135763599,100.0
1.0,1.0666913458555276,100.0
15.666666666666666,0.08367003978027097,100.0
19.0,0.04605463869438572,10.0
19.333333333333332,0.049445833133775874,100.0
14.333333333333334,0.09457778619683142,250.0
6.5,0.32020668500105176,250.0
15.5,0.07690816812528603,100.0
15.5,0.0786195401085651,100.0
18.666666666666668,0.052184180738905045,100.0
13.666666666666666,0.12636099923052813,250.0
15.833333333333334,0.06613124621856319,250.0
2.1666666666666665,0.842456714569678,100.0
16.5,0.07053085573032761,100.0
10.666666666666666,0.23114077570289496,100.0
12.0,0.1387990852524639,100.0
5.666666666666667,0.4134451789639371,250.0
14.666666666666666,0.09359532997426939,100.0
16.833333333333332,0.0646225433375812,100.0
18.333333333333332,0.05005037753035508,10.0
0.16666666666666666,1.0,250.0
16.166666666666668,0.07265391768819615,100.0
