cutoff_hz,sample,normal_r,dpn_r,diff,lo,hi,frac_negative
1.0,eligible,0.29857223268522454,0.35110540577313665,0.04668282298804938,-0.07384431215586774,0.16181351771043004,0.23
1.0,unrestricted,0.24748603760219798,0.3347422187788301,0.09094673604751291,-0.07941473841577147,0.282231573518925,0.15
2.0,eligible,0.4051657755163079,0.43870331773250665,0.030828989900996445,-0.04366403331544454,0.09466659658830934,0.22
2.0,unrestricted,0.34044813250723605,0.36942786647724735,0.03187942885206099,-0.0657314108489005,0.1300711399480722,0.27
5.0,eligible,0.3791304981078929,0.3941123884401695,0.01742052457718027,-0.018323901533017214,0.050758368377147325,0.26
5.0,unrestricted,0.3299865874284439,0.33362352594961026,0.0022884122159202436,-0.04342381858321597,0.052738816147705765,0.45
