force_level_mvc,selection_strategy,selection_seed,sample_size,fmin,fmax,isicv,normal_mean,dpn_mean,difference,wilcoxon_statistic,p_value,n_pairs,min_eligible_pool,median_eligible_pool,max_eligible_pool
50,seeded_random_10,20261000,10,5.0,15.0,0.3,11.788666666666668,11.609333333333334,-0.1793333333333332,485.0,0.14098249646972977,50,30,37.0,50
50,seeded_random_10,20261001,10,5.0,15.0,0.3,11.755333333333335,11.525333333333332,-0.23000000000000018,496.0,0.1719406509263559,50,30,37.0,50
50,seeded_random_10,20261002,10,5.0,15.0,0.3,11.621333333333332,11.544666666666666,-0.0766666666666665,587.0,0.6321732707310517,50,30,37.0,50
50,seeded_random_10,20261003,10,5.0,15.0,0.3,11.732333333333333,11.52,-0.21233333333333337,477.0,0.12128863937605361,50,30,37.0,50
50,seeded_random_10,20261004,10,5.0,15.0,0.3,11.874666666666666,11.669,-0.2056666666666665,512.5,0.22755775822116642,50,30,37.0,50
50,seeded_random_10,20261005,10,5.0,15.0,0.3,11.541666666666668,11.651000000000002,0.10933333333333348,573.0,0.5335115184639942,50,30,37.0,50
50,seeded_random_10,20261006,10,5.0,15.0,0.3,11.742333333333331,11.413999999999998,-0.3283333333333331,443.5,0.06109881334717923,50,30,37.0,50
50,seeded_random_10,20261007,10,5.0,15.0,0.3,11.737666666666666,11.632666666666667,-0.10500000000000032,580.5,0.5821503146641926,50,30,37.0,50
50,seeded_random_10,20261008,10,5.0,15.0,0.3,11.681,11.420000000000002,-0.2609999999999998,471.5,0.1090553418214148,50,30,37.0,50
50,seeded_random_10,20261009,10,5.0,15.0,0.3,11.819,11.537,-0.2820000000000002,435.5,0.05117655247317199,50,30,37.0,50
50,seeded_random_10,20261010,10,5.0,15.0,0.3,11.753666666666668,11.404333333333332,-0.34933333333333316,451.0,0.07180090661382703,50,30,37.0,50
50,seeded_random_10,20261011,10,5.0,15.0,0.3,11.837333333333333,11.510000000000002,-0.32733333333333364,392.0,0.017793199294657287,50,30,37.0,50
50,seeded_random_10,20261012,10,5.0,15.0,0.3,11.966333333333331,11.536333333333335,-0.43000000000000005,367.0,0.009020993898662793,50,30,37.0,50
50,seeded_random_10,20261013,10,5.0,15.0,0.3,11.937333333333335,11.862,-0.07533333333333324,573.0,0.6943745603587914,50,30,37.0,50
50,seeded_random_10,20261014,10,5.0,15.0,0.3,11.816666666666665,11.627,-0.18966666666666665,552.0,0.4151920088524754,50,30,37.0,50
50,seeded_random_10,20261015,10,5.0,15.0,0.3,11.757666666666667,11.621666666666668,-0.1359999999999997,580.0,0.5788445777392974,50,30,37.0,50
50,seeded_random_10,20261016,10,5.0,15.0,0.3,11.89,11.698000000000002,-0.19200000000000003,511.0,0.22201157130034377,50,30,37.0,50
50,seeded_random_10,20261017,10,5.0,15.0,0.3,11.758666666666665,11.538666666666666,-0.2199999999999999,532.5,0.3107735793227454,50,30,37.0,50
50,seeded_random_10,20261018,10,5.0,15.0,0.3,11.907333333333332,11.477666666666666,-0.4296666666666667,332.0,0.005266725026503026,50,30,37.0,50
50,seeded_random_10,20261019,10,5.0,15.0,0.3,11.658666666666665,11.521666666666665,-0.13699999999999993,551.0,0.40370738687215735,50,30,37.0,50
50,seeded_random_10,20261020,10,5.0,15.0,0.3,11.661000000000001,11.571333333333335,-0.08966666666666669,573.5,0.5366959551299624,50,30,37.0,50
50,seeded_random_10,20261021,10,5.0,15.0,0.3,11.931333333333333,11.5,-0.43133333333333324,387.0,0.01559557659854105,50,30,37.0,50
50,seeded_random_10,20261022,10,5.0,15.0,0.3,11.774666666666667,11.463666666666668,-0.3110000000000003,453.5,0.07569771403791169,50,30,37.0,50
50,seeded_random_10,20261023,10,5.0,15.0,0.3,11.701999999999998,11.577999999999998,-0.12399999999999994,553.5,0.4174236615008624,50,30,37.0,50
50,seeded_random_10,20261024,10,5.0,15.0,0.3,11.638333333333335,11.686666666666666,0.048333333333333284,581.0,0.7540151694292349,50,30,37.0,50
50,seeded_random_10,20261025,10,5.0,15.0,0.3,11.686000000000002,11.77966666666667,0.09366666666666668,582.5,0.7653778787546219,50,30,37.0,50
50,seeded_random_10,20261026,10,5.0,15.0,0.3,11.692333333333334,11.682,-0.010333333333333456,628.0,0.9269285422992193,50,30,37.0,50
50,seeded_random_10,20261027,10,5.0,15.0,0.3,11.805333333333333,11.465666666666666,-0.3396666666666668,410.0,0.028076884677558055,50,30,37.0,50
50,seeded_random_10,20261028,10,5.0,15.0,0.3,11.762,11.478,-0.28400000000000036,460.5,0.0875102252428742,50,30,37.0,50
50,seeded_random_10,20261029,10,5.0,15.0,0.3,11.799,11.471000000000002,-0.32800000000000046,423.5,0.03884266755322949,50,30,37.0,50
50,seeded_random_10,20261030,10,5.0,15.0,0.3,11.811,11.444666666666665,-0.36633333333333346,437.0,0.05292974753889102,50,30,37.0,50
50,seeded_random_10,20261031,10,5.0,15.0,0.3,11.903333333333334,11.421666666666667,-0.4816666666666666,394.0,0.018741754347335642,50,30,37.0,50
50,seeded_random_10,20261032,10,5.0,15.0,0.3,11.890666666666668,11.600999999999999,-0.28966666666666646,455.5,0.07893018179024343,50,30,37.0,50
50,seeded_random_10,20261033,10,5.0,15.0,0.3,11.905,11.455333333333334,-0.44966666666666655,394.0,0.018743133376767848,50,30,37.0,50
50,seeded_random_10,20261034,10,5.0,15.0,0.3,11.760666666666669,11.447666666666667,-0.31299999999999994,409.5,0.043454666687427305,50,30,37.0,50
50,seeded_random_10,20261035,10,5.0,15.0,0.3,11.642000000000001,11.671,0.02899999999999988,554.5,0.42299225764239856,50,30,37.0,50
50,seeded_random_10,20261036,10,5.0,15.0,0.3,11.932333333333336,11.435666666666666,-0.49666666666666687,371.5,0.01023455850110029,50,30,37.0,50
50,seeded_random_10,20261037,10,5.0,15.0,0.3,11.81733333333333,11.515666666666666,-0.30166666666666647,437.0,0.08083747526238899,50,30,37.0,50
50,seeded_random_10,20261038,10,5.0,15.0,0.3,11.719333333333333,11.537,-0.18233333333333313,520.5,0.2587121898360052,50,30,37.0,50
50,seeded_random_10,20261039,10,5.0,15.0,0.3,11.756333333333334,11.532333333333332,-0.2240000000000001,506.5,0.20601153683057805,50,30,37.0,50
50,seeded_random_10,20261040,10,5.0,15.0,0.3,11.832333333333333,11.639666666666667,-0.1926666666666665,537.5,0.33437498772528806,50,30,37.0,50
50,seeded_random_10,20261041,10,5.0,15.0,0.3,11.807,11.806333333333335,-0.0006666666666665577,629.5,0.9384410711621658,50,30,37.0,50
50,seeded_random_10,20261042,10,5.0,15.0,0.3,11.723666666666668,11.718666666666666,-0.0049999999999999645,626.5,0.9154317824518623,50,30,37.0,50
50,seeded_random_10,20261043,10,5.0,15.0,0.3,11.641666666666667,11.53333333333333,-0.10833333333333353,581.0,0.5854451825442057,50,30,37.0,50
50,seeded_random_10,20261044,10,5.0,15.0,0.3,11.903000000000002,11.354,-0.5489999999999996,319.0,0.002107055440288966,50,30,37.0,50
50,seeded_random_10,20261045,10,5.0,15.0,0.3,11.866333333333335,11.690999999999999,-0.17533333333333367,555.5,0.42859866953477166,50,30,37.0,50
50,seeded_random_10,20261046,10,5.0,15.0,0.3,11.734000000000002,11.497333333333335,-0.2366666666666667,417.0,0.05181156528800346,50,30,37.0,50
