outcome,outcome_unit,estimate,force_level_mvc,simulation_id,normal_value,dpn_value,dpn_minus_normal
firing_rate,pps,randomized_hdsemg,10,0,11.35,13.15,1.8000000000000007
firing_rate,pps,randomized_hdsemg,10,1,10.483333333333334,11.549999999999999,1.0666666666666647
firing_rate,pps,randomized_hdsemg,10,2,12.816666666666668,11.8,-1.0166666666666675
firing_rate,pps,randomized_hdsemg,10,3,13.0,10.233333333333333,-2.7666666666666675
firing_rate,pps,randomized_hdsemg,10,4,12.95,12.416666666666668,-0.5333333333333314
firing_rate,pps,randomized_hdsemg,10,5,11.816666666666666,11.733333333333333,-0.08333333333333393
firing_rate,pps,randomized_hdsemg,10,6,10.749999999999998,11.566666666666666,0.8166666666666682
firing_rate,pps,randomized_hdsemg,10,7,11.966666666666669,12.349999999999998,0.3833333333333293
firing_rate,pps,randomized_hdsemg,10,8,11.883333333333335,12.183333333333334,0.29999999999999893
firing_rate,pps,randomized_hdsemg,10,9,12.083333333333334,11.083333333333334,-1.0
firing_rate,pps,randomized_hdsemg,10,10,12.483333333333333,12.966666666666669,0.48333333333333606
firing_rate,pps,randomized_hdsemg,10,11,11.216666666666665,10.75,-0.466666666666665
firing_rate,pps,randomized_hdsemg,10,12,11.950000000000001,10.583333333333334,-1.3666666666666671
firing_rate,pps,randomized_hdsemg,10,13,12.283333333333331,12.433333333333334,0.15000000000000213
firing_rate,pps,randomized_hdsemg,10,14,11.999999999999998,11.8,-0.1999999999999975
firing_rate,pps,randomized_hdsemg,10,15,11.983333333333334,12.183333333333334,0.1999999999999993
firing_rate,pps,randomized_hdsemg,10,16,12.433333333333334,12.316666666666666,-0.11666666666666714
firing_rate,pps,randomized_hdsemg,10,17,11.916666666666668,12.483333333333333,0.5666666666666647
firing_rate,pps,randomized_hdsemg,10,18,12.05,12.35,0.29999999999999893
firing_rate,pps,randomized_hdsemg,10,19,10.733333333333333,11.866666666666667,1.1333333333333346
firing_rate,pps,randomized_hdsemg,10,20,12.583333333333334,12.633333333333333,0.049999999999998934
firing_rate,pps,randomized_hdsemg,10,21,12.7,10.900000000000002,-1.7999999999999972
firing_rate,pps,randomized_hdsemg,10,22,12.083333333333334,12.25,0.16666666666666607
firing_rate,pps,randomized_hdsemg,10,23,12.866666666666665,12.866666666666665,0.0
firing_rate,pps,randomized_hdsemg,10,24,11.15,11.916666666666668,0.7666666666666675
firing_rate,pps,randomized_hdsemg,10,25,11.766666666666667,12.066666666666666,0.29999999999999893
firing_rate,pps,randomized_hdsemg,10,26,12.366666666666667,11.150000000000002,-1.216666666666665
firing_rate,pps,randomized_hdsemg,10,27,11.850000000000001,11.85,-1.7763568394002505e-15
firing_rate,pps,randomized_hdsemg,10,28,11.966666666666665,12.500000000000002,0.5333333333333368
firing_rate,pps,randomized_hdsemg,10,29,12.083333333333334,11.35,-0.7333333333333343
firing_rate,pps,randomized_hdsemg,10,30,12.333333333333332,13.066666666666666,0.7333333333333343
