simulation_id,mean_firing_rate,mean_ISI_CV,n_motor_units
0,12.133333333333333,0.14626652931238768,10
1,12.0,0.1555315323335091,10
2,11.266666666666667,0.17653382037774315,10
3,12.333333333333332,0.15171592211383023,10
4,12.616666666666667,0.13776834897581253,10
5,12.75,0.14657859216960184,10
6,12.15,0.16430000662358898,10
7,11.349999999999998,0.17526746094395024,10
8,12.316666666666666,0.1450687349434429,10
9,12.216666666666667,0.150037617484652,10
10,12.616666666666665,0.1481008622969182,10
11,12.133333333333333,0.1606312835508789,10
12,12.166666666666668,0.15857979125661342,10
13,11.766666666666666,0.16383077894895162,10
14,11.966666666666667,0.15779558828695767,10
15,12.916666666666666,0.1350037813726188,10
16,12.23333333333333,0.1522320478558277,10
17,12.4,0.1526730458758101,10
18,11.583333333333334,0.16640553862396312,10
19,11.866666666666667,0.1654945546832045,10
20,12.383333333333335,0.14656510610617476,10
21,11.45,0.1741898588151633,10
22,13.35,0.1196938047791464,10
23,12.516666666666666,0.14703874346237772,10
24,12.5,0.14321801184815036,10
25,12.816666666666668,0.13446144375357527,10
26,12.416666666666666,0.1448378960989896,10
27,11.866666666666667,0.15733802305159209,10
28,12.433333333333334,0.13607006310904543,10
29,12.533333333333335,0.14035458365941256,10
30,12.2,0.1571802000973477,10
31,12.633333333333335,0.13841238748546575,10
32,12.249999999999998,0.15273153632826691,10
33,12.333333333333334,0.1506464284754744,10
34,11.3,0.17246886991835114,10
35,12.683333333333334,0.1424234780696604,10
36,12.433333333333334,0.1499382390473793,10
37,11.216666666666667,0.18217292450311062,10
38,11.5,0.16418861770477214,10
39,12.283333333333333,0.15133676613559777,10
40,12.3,0.14335358006042984,10
41,12.433333333333334,0.148091729817172,10
42,11.383333333333333,0.17743248072307174,10
43,12.383333333333335,0.14666197347067572,10
44,11.733333333333334,0.16752828648805337,10
45,12.4,0.14413291298064693,10
46,13.25,0.12385738574095462,10
47,12.183333333333334,0.14944899684329976,10
48,11.383333333333333,0.1687794402619272,10
49,12.416666666666668,0.14363366865310445,10
