frequency,coherence
0.0,3.725018493576687e-05
0.22727272727272727,0.0009510994750947284
0.45454545454545453,0.00795856336476031
0.6818181818181818,0.014999192433368386
0.9090909090909091,0.019164960311936236
1.1363636363636362,0.0024292933530683128
1.3636363636363635,0.0039371371898278395
1.5909090909090908,0.008308133688418975
1.8181818181818181,0.0006949881838115469
2.0454545454545454,0.0010771988609476835
2.2727272727272725,4.4225952243351416e-05
2.5,0.004211733834681059
2.727272727272727,0.004175871562673485
2.9545454545454546,0.0012508586639138049
3.1818181818181817,0.0010951726978034027
3.409090909090909,0.00019612657934982408
3.6363636363636362,0.0014173815137961706
3.8636363636363633,0.0009221429595229469
4.090909090909091,0.00019068328786859976
4.318181818181818,0.0028418569025076565
4.545454545454545,0.0021475580869221586
4.7727272727272725,0.001593060894971995
5.0,0.0075912945756822225
5.2272727272727275,0.012476906973781177
5.454545454545454,0.00819791453689559
5.681818181818182,0.0030129611409870833
5.909090909090909,0.0017255184441034575
6.136363636363636,0.00035664279384535946
6.363636363636363,0.0005913230925270045
6.590909090909091,3.781961913685496e-05
6.818181818181818,0.001014284130336762
7.045454545454545,0.006994096148844675
7.2727272727272725,0.0055022111795626485
7.5,0.007716913674409742
7.727272727272727,0.0010990729769424427
7.954545454545454,0.005959580952986386
8.181818181818182,0.0030708673632995377
8.409090909090908,0.008388917034155742
8.636363636363637,0.003957093697841598
8.863636363636363,6.373351218865943e-05
9.09090909090909,0.002673198008410627
9.318181818181818,0.0009124053303181376
9.545454545454545,0.002273709277190467
9.772727272727272,9.52574053107985e-06
10.0,0.004715202556616986
10.227272727272727,0.002947398433734924
10.454545454545455,0.0016751470293040528
10.681818181818182,0.0015325694640091084
10.909090909090908,0.0013332835982254152
11.136363636363637,0.0016543300178373137
11.363636363636363,0.00019627940485649639
11.59090909090909,0.0016653884670968112
11.818181818181818,0.001641139296543716
12.045454545454545,0.0014527759737793535
12.272727272727272,0.00517773976948928
12.5,0.010546323820002843
12.727272727272727,0.003207328663589783
12.954545454545453,0.0022200396821442643
13.181818181818182,0.004500477446111869
13.409090909090908,0.005218022697031925
13.636363636363637,0.0017174579675057677
13.863636363636363,0.0013606438621160293
14.09090909090909,0.0016661230848840775
14.318181818181818,0.0036814411001011233
14.545454545454545,0.0005840179936890664
14.772727272727272,0.0012463725556310457
15.0,0.005337193667640621
15.227272727272727,0.0049121801874003725
15.454545454545453,0.0017562764093047296
15.681818181818182,0.0034454920531627586
15.909090909090908,0.0013363171456392442
16.136363636363637,0.0005407693730630381
16.363636363636363,0.0014583558534720326
16.59090909090909,0.0007303453004229019
16.818181818181817,0.009178612241814404
17.045454545454543,0.0015340155880393933
17.272727272727273,0.024340463712498994
17.5,0.017480787920914072
17.727272727272727,0.0045132371226876975
17.954545454545453,0.0009072711933324907
18.18181818181818,0.004667861405142114
18.40909090909091,0.002504657538239048
18.636363636363637,0.004103553913949239
18.863636363636363,0.0011874354893345338
19.09090909090909,0.0019928530956522736
19.318181818181817,0.007400997883705295
19.545454545454543,0.019443925142686246
19.772727272727273,0.00883274626259989
20.0,0.005285547257983722
20.227272727272727,0.002120902483458171
20.454545454545453,0.0006009092856859387
20.68181818181818,0.000924346209730023
20.90909090909091,0.00122990772089572
21.136363636363637,0.003652081548169562
21.363636363636363,0.004930905890181654
21.59090909090909,0.0018984955962183163
21.818181818181817,0.0065173183724603345
22.045454545454543,0.0017461747214085172
22.272727272727273,0.0012573005083022647
22.5,0.003060797904672213
22.727272727272727,0.0019433779216380437
22.954545454545453,0.0013168095908473688
23.18181818181818,0.0017488104412583141
23.40909090909091,0.002373560491299252
23.636363636363637,4.700909123016133e-05
23.863636363636363,0.001852078201437175
24.09090909090909,0.005960892499192383
24.318181818181817,0.00955696499635279
24.545454545454543,0.004070768103756845
24.772727272727273,0.000298382808033572
25.0,0.003621922032295575
25.227272727272727,0.0006896898315019616
25.454545454545453,0.00015024711373080266
25.68181818181818,0.0012390157682322957
25.909090909090907,0.00010262347906862994
26.136363636363637,0.007102868318413673
26.363636363636363,0.0019008912614008732
26.59090909090909,0.0010675287435737441
26.818181818181817,0.00351184384204871
27.045454545454543,0.0009532039813457419
27.272727272727273,0.0005792018303843395
27.5,0.0018175466024566566
