simulation_id,mean_firing_rate,mean_ISI_CV,n_motor_units
0,9.283333333333333,0.2366000464085373,10
1,8.95,0.2593586300162287,10
2,8.283333333333335,0.25397722505073883,10
3,9.383333333333333,0.2346777968306745,10
4,8.783333333333331,0.25802348836014044,10
5,8.733333333333334,0.26229493579348184,10
6,9.149999999999999,0.24187876143966774,10
7,9.083333333333334,0.2435411629500504,10
8,8.75,0.2523840966066667,10
9,8.483333333333334,0.26457384729034245,10
10,10.000000000000002,0.2332576518410887,10
11,9.3,0.23342091917354008,10
12,9.45,0.2497943018053852,10
13,8.966666666666667,0.25379493028324696,10
14,9.166666666666668,0.24021150867686797,10
15,9.883333333333335,0.22668724533043177,10
16,8.95,0.24665364037781928,10
17,9.55,0.21254903502605654,10
18,8.766666666666667,0.24432607096250888,10
19,8.55,0.2654697366502818,10
20,9.883333333333333,0.23900738317178272,10
21,8.833333333333334,0.26288112191247837,10
22,9.066666666666666,0.23727868476151767,10
23,8.316666666666666,0.27949787819693545,10
24,8.8,0.2522231709031448,10
25,9.1,0.24321804509290415,10
26,9.416666666666668,0.24659351047700623,10
27,9.48333333333333,0.22753598529470348,10
28,9.516666666666667,0.2285775117614079,10
29,8.833333333333334,0.2652987789712935,10
30,9.116666666666667,0.25393134123456373,10
31,9.966666666666669,0.20929872598572188,10
32,8.833333333333332,0.27066698576492865,10
33,9.533333333333333,0.23450673112892084,10
34,8.9,0.24842319627519557,10
35,9.6,0.22936381937196865,10
36,9.383333333333335,0.2532164527960261,10
37,8.683333333333332,0.266487191069796,10
38,8.966666666666665,0.23463353340269286,10
39,9.066666666666666,0.25821149666226767,10
40,9.483333333333334,0.22478068680246852,10
41,9.25,0.24737806216258768,10
42,8.633333333333335,0.26674824046620543,10
43,9.616666666666665,0.24671767845333248,10
44,8.583333333333334,0.24530392256430691,10
45,10.033333333333335,0.22134760727442243,10
46,9.566666666666666,0.23129327927169227,10
47,9.05,0.23549359984486062,10
48,8.4,0.2599319340781654,10
49,9.65,0.23346020374972612,10
