simulation_id,mean_firing_rate,mean_ISI_CV,n_motor_units
0,13.316666666666668,0.1794543214123099,10
1,12.566666666666666,0.2384088949980387,10
2,15.533333333333335,0.11204376018511135,10
3,15.75,0.0878250173655001,10
4,15.933333333333332,0.08033996040307274,10
5,15.733333333333334,0.09723833472895729,10
6,11.966666666666667,0.17600323279057045,10
7,12.95,0.21447981341320807,10
8,13.283333333333335,0.19242462971200597,10
9,15.516666666666666,0.07391481211864961,10
10,13.5,0.1874837762851494,10
11,15.85,0.07068958092658613,10
12,13.666666666666668,0.12302871042246807,10
13,10.166666666666668,0.3135589128403871,10
14,15.3,0.10614236300371498,10
15,13.316666666666666,0.18887997800060471,10
16,13.0,0.13713793099328403,10
17,15.2,0.15759612617177546,10
18,11.966666666666665,0.23637787869116217,10
19,11.01666666666667,0.22722698236632372,10
20,11.3,0.2767368922949732,10
21,11.150000000000002,0.23141448552088534,10
22,12.75,0.16008154727601004,10
23,10.783333333333335,0.295870258709535,10
24,16.65,0.059315261951903994,10
25,15.433333333333334,0.09232177689022462,10
26,15.816666666666666,0.11688023139544541,10
27,15.633333333333331,0.06498677036053384,10
28,9.566666666666666,0.3448591521500597,10
29,16.466666666666665,0.07175343470366502,10
30,15.116666666666665,0.07656937912870879,10
31,14.65,0.1520761554234237,10
32,15.566666666666666,0.08440336798112476,10
33,13.85,0.24040352287765904,10
34,14.633333333333335,0.09761558937449716,10
35,15.933333333333332,0.1409560606442221,10
36,15.416666666666668,0.06687753675781394,10
37,12.8,0.25492305709204066,10
38,16.43333333333333,0.058119237929188196,10
39,14.466666666666669,0.13210380421009218,10
40,14.866666666666669,0.1523760123239638,10
41,11.950000000000001,0.16626769798542984,10
42,13.76666666666667,0.14788104943320632,10
43,14.683333333333332,0.15584149284448517,10
44,15.866666666666669,0.08648383191351552,10
45,12.983333333333334,0.2348245421135479,10
46,13.4,0.1164982546282709,10
47,17.016666666666666,0.06707872554347508,10
48,14.016666666666666,0.16613257188217148,10
49,14.4,0.083699888082213,10
