simulation_id,mean_firing_rate,mean_ISI_CV,n_motor_units
0,7.933333333333333,0.23397848034353358,10
1,8.283333333333335,0.21320830110936181,10
2,7.733333333333332,0.22652485293574748,10
3,8.45,0.2117600592105461,10
4,7.1,0.25638866365639545,10
5,8.133333333333333,0.23038882343291567,10
6,7.583333333333333,0.25294676966952534,10
7,7.65,0.23259798605890927,10
8,8.466666666666667,0.20123182423482744,10
9,8.85,0.19473562044610937,10
10,8.083333333333332,0.2339505431377039,10
11,7.783333333333334,0.23978557309078025,10
12,8.333333333333334,0.2150060921378075,10
13,7.8166666666666655,0.23147838745145027,10
14,7.55,0.2486459600691014,10
15,7.949999999999998,0.23278758574974995,10
16,8.183333333333334,0.2196256902010158,10
17,7.749999999999998,0.2365186204988731,10
18,7.8166666666666655,0.2381648804620211,10
19,8.7,0.2163998379056009,10
20,7.866666666666665,0.22385012663595397,10
21,6.8,0.27340600699195533,10
22,7.533333333333334,0.24735645263130643,10
23,7.75,0.22516577522486053,10
24,7.833333333333333,0.22184740907354944,10
25,8.133333333333333,0.22145820482978876,10
26,7.499999999999998,0.2359459489101575,10
27,8.666666666666666,0.20240667142002083,10
28,9.616666666666667,0.17465601679458304,10
29,7.8166666666666655,0.2329916697574229,10
30,8.383333333333335,0.2103604009521554,10
31,8.333333333333334,0.2119248845708673,10
32,7.55,0.2322483813816844,10
33,8.65,0.20752319989807894,10
34,7.583333333333333,0.24662599223038084,10
35,7.95,0.2215907574498058,10
36,8.666666666666668,0.21472270456895534,10
37,7.9833333333333325,0.22041089768843372,10
38,7.533333333333333,0.23860487001639194,10
39,8.416666666666668,0.2093564276483734,10
40,8.866666666666667,0.18705615193068598,10
41,7.8166666666666655,0.22419208964212817,10
42,7.1833333333333345,0.24768359664838885,10
43,7.283333333333333,0.2496354571944308,10
44,8.083333333333332,0.2162731392776364,10
45,10.333333333333332,0.15538763851289905,10
46,7.116666666666667,0.2512274094349366,10
47,8.333333333333332,0.21787494294607543,10
48,7.8,0.22540835226550118,10
49,8.333333333333334,0.22136244567289692,10
