frequency,power
0.0,0.8714896078105425
0.11363636363636363,1.4430295081434366
0.22727272727272727,1.2914325405481744
0.3409090909090909,1.8400584906519266
0.45454545454545453,1.8165989612497155
0.5681818181818181,1.7219438124613329
0.6818181818181818,1.669815278775733
0.7954545454545454,1.9196148313219434
0.9090909090909091,2.1677711368834744
1.0227272727272727,2.05362229716668
1.1363636363636362,2.2063685803587916
1.25,1.9700267713884916
1.3636363636363635,2.041484238055059
1.4772727272727273,2.2588257097249
1.5909090909090908,2.4482467670994486
1.7045454545454546,2.03487469314926
1.8181818181818181,1.669101295359058
1.9318181818181817,1.6245324049211363
2.0454545454545454,1.933656784761393
2.159090909090909,1.8986334819900708
2.2727272727272725,2.1556014445232092
2.3863636363636362,1.9894161698181712
2.5,1.974222323093543
2.6136363636363638,1.960945952783113
2.727272727272727,1.7093231162491729
2.840909090909091,1.9707821111499448
2.9545454545454546,2.3516616448250858
3.068181818181818,1.9410185223619003
3.1818181818181817,2.374109475298206
3.2954545454545454,2.9678729858981483
3.409090909090909,2.686682978677042
3.5227272727272725,2.7076878324933373
3.6363636363636362,2.6789851374396183
3.75,2.7100823437728816
3.8636363636363633,2.7774544042221945
3.977272727272727,2.5827670151096185
4.090909090909091,3.4197355632075803
4.204545454545454,3.8355210199224574
4.318181818181818,3.4488346245271404
4.431818181818182,3.110321279971261
4.545454545454545,3.8697502328514903
4.659090909090909,4.843647725124837
4.7727272727272725,4.617019110150295
4.886363636363636,3.3954971150673217
5.0,3.838565320797253
5.113636363636363,3.7614587317238946
5.2272727272727275,4.834437549259922
5.340909090909091,6.10985735419148
5.454545454545454,7.357081355594319
5.568181818181818,6.962826110892279
5.681818181818182,8.829733448755537
5.795454545454545,8.429790124623166
5.909090909090909,8.134350445281322
6.0227272727272725,7.1127849221261
6.136363636363636,8.311288648093308
6.25,9.816987130732132
6.363636363636363,10.316955365763016
6.477272727272727,10.977440283695731
6.590909090909091,9.973325210705902
6.704545454545454,10.461530404598097
6.818181818181818,10.031589217848696
6.931818181818182,15.594499116932365
7.045454545454545,13.660946962985918
7.159090909090909,14.226696881982994
7.2727272727272725,17.691092528933677
7.386363636363636,21.239896958320927
7.5,18.10982335242333
7.613636363636363,15.305464478107192
7.727272727272727,19.89742625300614
7.840909090909091,23.15420798550166
7.954545454545454,23.58995535078017
8.068181818181818,16.78786885254849
8.181818181818182,32.23850111476981
8.295454545454545,36.082806446394784
8.409090909090908,33.7418648771861
8.522727272727272,33.23461396290788
8.636363636363637,38.9074115356562
8.75,45.04540668917972
8.863636363636363,44.5321953162264
8.977272727272727,45.9573835352256
9.09090909090909,51.42563438899702
9.204545454545455,75.47747396759657
9.318181818181818,52.829249606684044
9.431818181818182,42.55413191938899
9.545454545454545,43.55421744513643
9.659090909090908,35.61439791760352
9.772727272727272,35.34702613406104
9.886363636363637,45.40902453113915
10.0,52.19259762408685
10.113636363636363,50.07292700361945
10.227272727272727,46.803340040727576
10.34090909090909,42.848416363900995
10.454545454545455,40.64450335705176
10.568181818181818,35.31437660095064
10.681818181818182,40.29235031093885
10.795454545454545,36.21094275237171
10.909090909090908,33.410670137854936
11.022727272727272,20.08213178425856
11.136363636363637,25.560908529740463
11.25,29.10857040419476
11.363636363636363,35.886179356996834
11.477272727272727,34.89920579646524
11.59090909090909,26.55856084973888
