force_level_mvc,estimate,firing_rate_mode,firing_rate_unit_of_analysis,firing_rate_selection_seed,firing_rate_bootstrap_seed,firing_rate_n_resamples,firing_rate_n_simulations,firing_rate_normal_mean_pps,firing_rate_normal_sd_pps,firing_rate_normal_ci_low,firing_rate_normal_ci_high,firing_rate_DPN_mean_pps,firing_rate_DPN_sd_pps,firing_rate_DPN_ci_low,firing_rate_DPN_ci_high,firing_rate_DPN_minus_normal_pps,firing_rate_difference_ci_low,firing_rate_difference_ci_high,firing_rate_wilcoxon_statistic,firing_rate_p_value,isi_cv_mode,isi_cv_unit_of_analysis,isi_cv_selection_seed,isi_cv_bootstrap_seed,isi_cv_n_resamples,isi_cv_n_simulations,isi_cv_normal_mean,isi_cv_normal_sd,isi_cv_normal_ci_low,isi_cv_normal_ci_high,isi_cv_DPN_mean,isi_cv_DPN_sd,isi_cv_DPN_ci_low,isi_cv_DPN_ci_high,isi_cv_DPN_minus_normal,isi_cv_difference_ci_low,isi_cv_difference_ci_high,isi_cv_wilcoxon_statistic,isi_cv_p_value
10,randomized_hdsemg,10% MVC HD-sEMG,simulation/subject,20260104.0,20260110,100000,50,12.032666666666666,0.6553197623524758,11.846666666666666,12.206000000000001,11.761999999999999,0.80246954435325,11.535333333333334,11.976999999999999,-0.2706666666666665,-0.5880000000000027,0.014263902513167242,479.5,0.1858141527871645,10% MVC HD-sEMG,simulation/subject,20260104.0,20260110,100000,50,0.16679529249134128,0.019654221895491902,0.16164002379325718,0.17245386840805338,0.13654898896210688,0.022596753073748636,0.13062048035086832,0.14304850259818339,-0.03024630352923435,-0.03826735436454224,-0.021309528319377276,94.0,5.310079487230723e-09
10,simulation_truth_all_active_motor_units,10% MVC all motor units,simulation/subject,,20260111,100000,50,10.131380716088252,0.39195981637741756,10.020717803548996,10.236059044138914,11.517570216768009,0.44383736878669655,11.394280526792137,11.637543945704186,1.3861895006797555,1.2203449986321984,1.542981353885085,0.0,1.7763568394002505e-15,10% MVC all motor units,simulation/subject,,20260111,100000,50,0.32064694765195584,0.020842290394529176,0.3153496855841163,0.3267722476950232,0.22752306998522315,0.022947504456373755,0.22117854506602558,0.23370592225180994,-0.09312387766673268,-0.10196906016620064,-0.08402456544205618,0.0,1.7763568394002505e-15
50,randomized_hdsemg,50% MVC HD-sEMG,simulation/subject,20260105.0,20260113,100000,50,11.905,0.7201918521164172,11.705333333333334,12.102333333333334,11.494333333333334,0.8993422262461032,11.233333333333336,11.727333333333334,-0.4106666666666668,-0.7406666666666677,-0.11000000000000425,424.0,0.03929855439937332,50% MVC HD-sEMG,simulation/subject,20260105.0,20260113,100000,50,0.14133833198478435,0.01941429371959443,0.13602581637980393,0.14665817247686516,0.12530256852374105,0.021043342278425536,0.11992048771433675,0.13149993680753305,-0.016035763461043278,-0.023622802457177655,-0.007884084881832521,272.0,0.0002738644978439453
50,simulation_truth_all_active_motor_units,50% MVC all motor units,simulation/subject,,20260114,100000,50,16.884114124291273,0.22890865034822386,16.823547193268606,16.948701079237456,17.415465885498726,0.38196780574914724,17.31356524168913,17.52396225761149,0.5313517612074482,0.42938999945081324,0.6427875522604305,6.0,2.4868995751603507e-14,50% MVC all motor units,simulation/subject,,20260114,100000,50,0.11517157905973147,0.007631025421596686,0.11302081053572724,0.11719051471868842,0.08475949066372118,0.009538265943490849,0.08201071255715456,0.08724664156871122,-0.03041208839601027,-0.033832504110104335,-0.027083501031669503,0.0,1.7763568394002505e-15
