firing_rate,ISI_CV
6.166666666666667,0.2533522110940885
6.833333333333333,0.270651729994514
7.0,0.2680638723844217
7.0,0.2911677324818058
7.333333333333333,0.25803890274086044
8.0,0.23427630242301717
8.333333333333334,0.2385048930115569
8.666666666666666,0.184740986678153
8.833333333333334,0.17020137465304613
9.333333333333334,0.20134397836998322
6.5,0.26181698159898037
7.333333333333333,0.2767799156713021
7.833333333333333,0.22870107375813895
8.166666666666666,0.22418931667825315
8.333333333333334,0.1990013598775374
8.5,0.2337016859578551
8.5,0.21427804729380528
8.5,0.22707955087678822
8.666666666666666,0.20836569481600326
8.833333333333334,0.18968644687269848
7.0,0.23019611824082875
7.0,0.25502079136077777
7.333333333333333,0.25092063032720496
7.5,0.20883365644189325
8.666666666666666,0.22299666785818448
8.666666666666666,0.21499891143827618
8.833333333333334,0.1991036272560425
9.0,0.18908562889472555
9.666666666666666,0.18637767557833138
9.833333333333334,0.18094098096715894
6.666666666666667,0.26308076224427746
7.666666666666667,0.24442799618137054
8.333333333333334,0.20227039792698848
8.666666666666666,0.20893475611211187
8.833333333333334,0.19935416697540823
8.833333333333334,0.1999603097764314
9.333333333333334,0.18792800804283336
9.5,0.1923693174778689
10.0,0.14454141115651892
10.0,0.1570847912086382
5.333333333333333,0.2770781280828238
6.166666666666667,0.2604449719960262
6.5,0.27217477344555796
6.833333333333333,0.28701272450748705
6.833333333333333,0.28161270032191693
7.166666666666667,0.22991894199869686
7.166666666666667,0.22319460856108445
7.666666666666667,0.26420516664635896
7.833333333333333,0.23001480100438418
8.833333333333334,0.18766705106882578
6.333333333333333,0.2963029073010317
6.666666666666667,0.2678274765334089
7.833333333333333,0.21341042495444631
7.833333333333333,0.2185654284117999
8.0,0.2575349645913403
8.333333333333334,0.2194372402643486
9.333333333333334,0.1966540790414433
9.333333333333334,0.20316857260969867
10.166666666666666,0.14776149501962269
10.5,0.15260501834946813
6.0,0.2731698408059423
6.5,0.2653682841071034
6.833333333333333,0.2745905113243466
6.833333333333333,0.27398299507432394
7.166666666666667,0.27410279265015636
7.666666666666667,0.25136572908541954
8.0,0.21178420520959507
9.5,0.20305807158976558
9.5,0.15256635948635539
9.5,0.17010771466348562
5.166666666666667,0.2954013136241158
7.0,0.29640119883509614
7.333333333333333,0.21170048510357753
7.833333333333333,0.2627248433141113
7.833333333333333,0.23409444495110593
8.833333333333334,0.22623995559866078
9.833333333333334,0.1778595978411254
10.0,0.18218375144163274
10.0,0.1569991570676179
10.166666666666666,0.15235878310728965
5.5,0.2565096991497982
7.5,0.26403854120380243
8.0,0.1894381518913598
8.333333333333334,0.2371630497793167
9.0,0.21586641196024825
9.166666666666666,0.22491967697983942
9.5,0.15409623133522965
10.166666666666666,0.1704205017682358
10.666666666666666,0.11273938510324465
10.666666666666666,0.16031353452557656
4.5,0.2896931122187055
5.833333333333333,0.2816895389544072
6.333333333333333,0.2690999019339632
6.833333333333333,0.2656127060298094
7.666666666666667,0.2629123676383766
7.833333333333333,0.24501344524488952
8.0,0.2188574658575531
8.333333333333334,0.20379207554224738
9.0,0.17244133104137077
9.666666666666666,0.14872821107974413
5.5,0.2619618769527179
5.666666666666667,0.2430809672746848
6.666666666666667,0.27271776254428887
6.666666666666667,0.2964095908006362
6.833333333333333,0.2762731198450377
6.833333333333333,0.23826437924945662
6.833333333333333,0.2923269880454653
7.5,0.28683356081143707
7.666666666666667,0.2740079606130253
7.666666666666667,0.23058208715657855
6.166666666666667,0.24301268769486808
6.333333333333333,0.2409814318833401
6.5,0.28428765581079246
6.5,0.2940499186184762
6.666666666666667,0.26029580285571613
